Product,EOL Announced,End of Support
"S-MPC9E-RTU-R, S-MPC9E-RTU-IR, S-MPC9E-R-RTU4, S-MPC9E-R-ADD8, S-MPC9E-R-ADD4, S-MPC9E-R, S-MPC9EQ-R, S-MPC9EQ-IR, S-MPC9EQ, S-MPC9E-PVQ, S-MPC9E-IR-RTU960G, S-MPC9E-IR-ADD4, S-MPC9E-IR, S-MPC9E-ADD4, S-MPC8E-R, S-MPC8EQ-R, S-MPC8EQ-IR, S-MPC8EQ, S-MPC8E-PVQ, S-MPC8E-IR, S-MPC6E-ADV-R, S-MPC6E-ADV-IR, S-MIC6-OPT-LIC, MX2K-MPC9E-RTU-RB, MX2K-MPC9E-RTU-IRB, MX2K-MPC9E-RTU, MX2K-MPC9E-RB, MX2K-MPC9EQ-RB, MX2K-MPC9EQ-IRB, MX2K-MPC9EQ-B, MX2K-MPC9E-IR-RTUB, MX2K-MPC9E-IRB, MX2K-MPC9E-A-B1, MX2K-MPC9E-1-RB, MX2K-MPC8E-RB, MX2K-MPC8EQ-RB, MX2K-MPC8EQ-IRB, MX2K-MPC8EQ-B, MX2K-MPC8E-LRB, MX2K-MPC8E-IRB, MX2K-MPC6E-RTU1-B, MX2K-MPC6E-RB, MX2K-MPC6E-IRB, MX2K-MPC6E4X100G-B, MX2K-MPC6E48X10G-B, MPC6E-100-CFP2-RB, MPC6E-100-CFP2-IRB, MPC6-4X100G-CFP2-B, MPC6-48X10G-SFPP-B",01/15/2023,N/A
"VBNG-ELIT-100K-1YR,VBNG-ELIT-1K-1YR,VBNG-ELIT-1M-1YR,VBNG-ELITE-10K-1YR,VBNG-INTR-100K-1YR,VBNG-INTR-10K-1YR,VBNG-INTR-1K-1YR,VBNG-INTR-1M-1YR,VBNG-PREF-100K-1YR,VBNG-PREF-10K-1YR,VBNG-PREF-1K-1YR,VBNG-PREF-1M-1YR,VMX-100G-Q-1YR,VMX-100M-1YR,VMX-100M-1YR-SS,VMX-10G-Q-1YR,VMX-1G-Q-1YR,VMX-250M-1YR,VMX-40G-Q-1YR,VMX-500M-1YR,VMX-5G-Q-1YR,VMX-ADV-100G-1YR,VMX-ADV-10G-1YR,VMX-ADV-1G-1YR,VMX-ADV-40G-1YR,VMX-ADV-5G-1YR,VMX-BASE-100G-1YR,VMX-BASE-10G-1YR,VMX-BASE-1G-1YR,VMX-BASE-40G-1YR,VMX-BASE-5G-1YR,VMX-PRM-100G-1YR,VMX-PRM-10G-1YR,VMX-PRM-10G-1YR-SS,VMX-PRM-1G-1YR,VMX-PRM-1G-1YR-SS,VMX-PRM-40G-1YR,VMX-PRM-40G-1YR-SS,VMX-PRM-5G-1YR,VMX-PRM-5G-1YR-SS,VNF-LW4O6-50K-1YR",12/31/2022,06/30/2028
"VNF-LW4O6-50K,VMX-PRM-5G,VMX-PRM-40G,VMX-PRM-1G,VMX-PRM-10G-3YR,VMX-PRM-10G,VMX-PRM-100G,VMX-BASE-5G,VMX-BASE-40G,VMX-BASE-1G,VMX-BASE-10G,VMX-BASE-100G,VMX-ADV-5G,VMX-ADV-40G,VMX-ADV-1G,VMX-ADV-10G-3YR,VMX-ADV-10G,VMX-ADV-100G,VMX-5G-Q,VMX-500M,VMX-40G-Q,VMX-250M,VMX-1G-Q,VMX-10G-Q-3YR,VMX-10G-Q,VMX-100M,VMX-100G-Q,VBNG-PREF-1M,VBNG-PREF-1K,VBNG-PREF-10K,VBNG-PREF-100K,VBNG-INTR-1M,VBNG-INTR-1K,VBNG-INTR-10K,VBNG-INTR-100K,VBNG-ELIT-1M,VBNG-ELIT-1K,VBNG-ELIT-10K,VBNG-ELIT-100K,S-VMX-5G-P-P,S-VMX-5G-A-P,S-VMX-500M-P-P,S-VMX-500M-A-P,S-VMX-40G-P-P,S-VMX-40G-A-P,S-VMX-250M-P-P,S-VMX-250M-A-P,S-VMX-1G-P-P,S-VMX-1G-A-P,S-VMX-10G-P-P,S-VMX-10G-A-P,S-VMX-100M-P-P,S-VMX-100M-A-P,S-VMX-100G-P-P,S-VMX-100G-A-P,S-MX150-R,S-MX150-IR",12/31/2022,06/30/2028
"FLTR-E-M160-M40e-S, FLTR-KIT-M120-S",10/15/2022,10/15/2022
"S-MX104-UPG-4X10GE, S-MX104-UPG-2X10GE, S-MX104-SSM-FP, S-MX104-SA-FP, S-MX104-Q, S-MX104-ADV-R2, S-MX104-ADV-R1, S-MX104-ADD-2X10GE, RE-S-MX104-WW-S, RE-S-MX104-WW-R, RE-S-MX104-WW-BB, RE-S-MX104-S, RE-S-MX104-R, RE-S-MX104-BB, RE-S-BLANK-MX104, PWR-MX104-DC-S, PWR-MX104-DC-R, PWR-MX104-DC-BB, PWR-MX104-AC-S, PWR-MX104-AC-R, PWR-MX104-AC-BB, PWR-BLANK-MX104, MX104-T, MX104-SEPTUM-S, MX104-PREM-T, MX104-PREM-DC-BNDL, MX104-PREM-AC-BNDL, MX104-MX5-DC, MX104-MX5-AC, MX104-MX5-80G-UPG, MX104-MX5-40G-UPG, MX104-DC, MX104-AC, MX104-80G-DC-BNDL, MX104-80G-AC-BNDL, MX104-40G-DC-BNDL, MX104-40G-AC-BNDL, MX104-40G-80G-UPG, MIC-BLANK-MX104, MIC-3D-20GE-SFP-EH, FLTR-KIT-MX104-S, FANTRAY-MX104-S, FANTRAY-MX104-BB, CHAS-MX104-S",09/30/2022,03/15/2028
"MX204, MX204-IR, MX204-R",02/19/2021,N/A
"MX204-P-BASE, MX204PBASE-AC-1-FS",02/19/2021,N/A
"S-MX204-A-3, S-MX204-P-3",02/19/2021,05/30/2024
"S-MX204-A-5, S-MX204-P-5, S-MX204-P-EA-5",02/19/2021,05/30/2026
"MX10003-LC2103, MX10003-LC2103-E, MX10003-LC2103-EQ, MX10003-LC2103-IR, MX10003-LC2103-R, MX10K3-L2103-RU-IR, MX10K3-L2103-RU-R",02/19/2021,04/03/2029
"AS-MSC-400GB, MIC-3D-16CHE1-T1-CE-H, MIC-3D-4COC3-1COC12-CE, MIC-3D-4OC3-BNDL, MIC-3D-4OC3OC12-1OC48, MIC-3D-8OC3-2OC12-ATM, MIC-3D-8OC3-BNDL, MIC-4COC3-1COC12-CE-H, MIC3-100G-DWDM, MIC3-3D-1X100GE-CXP, MIC6-100G-CXP, MIC6-10G-OTN",07/15/2022,11/15/2027
"JNP10016-FAN, JNP10016-FAN-BB, JNP10016-FAN-CTRL, JNP10016-SF, JNP10016-SF-BB, JNP10016-SF-BLNK, JNP10016-SF-R, JNP10016FANCTRL-BB, MX10016-BASE, MX10016-PREMIUM, S-JFLOW-CH-MX10016",06/13/2022,04/03/2029
"JNP-FAN-3RU, JNP-FAN-3RU-BB, JNP-FLTRDR-3RU, JNP-FLTRDR-3RU-BB, JNP-MIC1, JNP-MIC1-MACSEC, JNP-PWR1100-DC-BB, JNP-PWR1100-DC-R, JNP-PWR1600-AC-BB, JNP-PWR1600-AC-R, JNP10003, JNP10003-CHAS, JNP10003-CHAS-BB, JNP10003-LC2103, JNP10003-LC2103-V2, JNP10003-RE1, JNP10003-RE1-BB, JNP10003-RE1-LT, JNP10003-RE1-LT-BB, JNP10003-RE1-LT-R, JNP10003-RE1-R, MX10003-BASE, MX10003-PREMIUM, MX10K3-L2103-BASE, MX10K3-L2103-P1-P, MX10K3-L2103B-BASE",06/13/2022,04/03/2029
"JNP10K-LC2101, MX10K-LC2101-BASE, MX10K-LC2101-P1-P",04/22/2022,10/22/2028
MIC-3D-SR-4GE-2XGE,03/04/2022,03/04/2022
CXP-100GBASE-SR10,02/23/2022,02/23/2027
"MIC-3D-8CHDS3-E3-B, MIC-3D-8DS3-E3, MIC-3D-8CHOC3-4CHOC12",11/19/2021,07/31/2027
CFP-100GBASE-ZR,01/31/2022,07/31/2027
"CHAS-MX-TSR80-S, MX-TSR80-A, MX-TSR80-AC, MX-TSR80-S-BNDL-AC, MX-TSR80-D, MX-TSR80-DC, MX-TSR80-S-BNDL-DC, RE-MX-TSR80-BB, RE-MX-TSR80-S",11/19/2021,12/31/2021
MPCE-3D-16XGE-SFPP,11/12/2021,06/30/2026
"SFP-1OC48-IR, SFP-1OC48-LR, SFP-1OC48-SR",01/30/2021,07/30/2026
"MX10K-LC2101, MX10K-LC2101-12CE, MX10K-LC2101-18CE, MX10K-LC2101-24CE, MX10K-LC2101-6CE, MX10K-LC2101-E, MX10K-LC2101-EQ, MX10K-LC2101-IR, MX10K-LC2101-R, MX10K-LC2101F-IR, MX10K-LC2101F-R, S-MX10K-LC2101, S-MX10K-LC2101F",12/15/2020,10/22/2028
AS-MXC40-64G,10/31/2020,12/31/20251
"MX80-5G10G-UPG-B, MX80-10G40G-UPG-B, MX80-40G-UPG-B, MPC4E-2CGE-RTU1, MPC4E-2CGE-RTU2, MPC4E-32XGE-RTU1, MPC4E-32XGE-RTU2, MX10-40-UPG, MX10-80-UPG, MX40-80-UPG, MX5-10-UPG, MX5-40-UPG, MX5-80-UPG, MX80-10G40G-UPG-ADV-B, MX80-40G-UPG-ADV-B, MX80-5G10G-UPG-ADV-B, S-ACCT-JFLOW-IN-10G, S-ACCT-JFLOW-IN-10G-UPG, S-MPC-3D-16XGE-ADV-R, S-MPC4E-3D-ADV-IR, S-MPC4E-3D-ADV-R, S-MPC4E-ADV-IR-SX, S-MPC4E-ADV-R-SX, S-MX80-ADV-R, S-MX80-LE-UPG, S-MX80-Q, S-MX80-SA-FP, S-MX80-SSM-FP, S-NAT-IN-MX40-MX80, S-NAT-IN-MX40-MX80-UPG, S-NAT-IN-MX5-MX10",06/30/2020,06/30/2026
"MX240-P3-SCBE2-AC, MX240-PREM3-AC, MX240-PREM3-DC, MX480-P3-SCBE2-AC, MX480-PREM3-AC, MX480-PREM3-DC, MX960-GF4-N2-AC-B, MX960-GF4-N2-DC-B, MX960-P3-SCBE2-ECM, MX960-PREM3AC-ECM, MX960-PREM3DC-ECM, DT-MX960-P2D-3-0-B, DT-MX960-P2D-2-0-B, MX2020-DC-ATT1-B, MX2010-DC-ATT2-B, MX480-P3-DC-IP-B5, MX960-P3-DC-IP-B5, VZ-VARMXMPC10G-A, MX960-P3-DC-IP-B6, MX480-P3-DC-IP-B6, VZ-FTTPMX960MDL-R, MX480-P3-AC-CMSO, MX960P3DC-ECM-CMSO, MX480-P3-DC-CMSO, MX240-P3-DC-CMSO, MX240-P3-ACH-CMSO, MX960-P3-DC-CMSO, MX960-P3-AC-CMSO, MPC4E-32XGE-TLS, MPC-3D-16XGE-CMSO-R-B, MX-MPC-16XGE-CMSO-R-B, MPC-16XGE-R-B-CMCS, MPC-16XGE-LCA-CMSC, MX80-ATT-IBM1-B, MX80-ATT-IBM2-B, SFP-1GE-FE-E-T-BC, V-MX2K-MSE-CH, MX2020-WYE-GOOG1-B, MX2020-DLT-GOOG2-B, MX2010-WYE-GOOG3-B, MX2010-DLT-GOOG4-B, MX2010-DC-ATT5-B, MX2020-DC-ATT5-B",06/30/2020,06/30/2026
"CHAS-MX10-T-BB, CHAS-MX10-T-DOM-S, CHAS-MX10-T-S, CHAS-MX40-T-BB, CHAS-MX40-T-DOM-S, CHAS-MX40-T-S, CHAS-MX5-T-BB, CHAS-MX5-T-DOM-S, CHAS-MX5-T-S, CHAS-MX80-48T-S, CHAS-MX80-DOM-S, CHAS-MX80-P-BB, CHAS-MX80-P-DOM-S, CHAS-MX80-P-S, CHAS-MX80-S, CHAS-MX80-T-BB, CHAS-MX80-T-DOM-S, CHAS-MX80-T-S, MIC-3D-20GE-SFP, MIC-3D-4CHOC3-2CHOC12, MIC-4COC3-2COC12-G, MIC-8COC3-4COC12-G, MIC-20GE-SFP-1GE-B, MPC-3D-16XGE-SFPP, MPC-3D-16XGE-SFPP-R-B, MPCE-3D-16XGE-SFPP-R-B, MPC-3D-16XE-RTU1-B, MX-MPC1E-3D, MX-MPC1E-3D-P-B, MX-MPC1E-3D-P-Q-B, MX-MPC1E-3D-P-Q-R-B, MX-MPC1E-3D-P-R-B, MX-MPC1E-3D-Q, MX-MPC1E-3D-Q-R-B, MX-MPC1E-3D-R-B, MX-MPC2E-3D, MX-MPC2E-3D-EQ, MX-MPC2E-3D-EQ-R-B, MX-MPC2E-3D-P, MX-MPC2E-3D-P-Q-B, MX-MPC2E-3D-P-Q-R-B, MX-MPC2E-3D-P-R-B, MX-MPC2E-3D-Q, MX-MPC2E-3D-Q-R-B, MX-MPC2E-3D-R-B, MPC2E-MTS3-B, MX-MPC2EQ-CGRTU1-B, MX-MPC2EQ-CGRTU-B, MX-MPC2E-U-EQ-R-B, MX-MPC3E-3D, MX-MPC3E-3D-R-B, MX-MPC3E-3D-RTU1-B, MX-MPC3E-40GE-B, MPC4E-3D-2CGE-8XGE, MPC4E-3D-2CGE8XGE-IR-B, MPC4E-3D-2CGE8XGE-R-B, MPC4E-3D-32XGE-IR-B, MPC4E-3D-32XGE-R-B, MPC4E-3D-32XGE-SFPP, MPC4E-3D-32XGE-SX, MPC4E-3D-32X-RB-SX, MPC4E-2CGE-RTU1-B, MPC4E-32XGE-RTU1-B, RE-S-1800X4-16G-BB, RE-MX2000-1800X4-BB, RE-MX2000-1800X4-R, RE-MX2000-1800X4-S, RE-MX2000-1800X4-WW-BB, RE-MX2000-1800X4-WW-R, RE-MX2000-1800X4-WW-S, REMX2K-1800-32G-BB, REMX2K-1800-32G-R, REMX2K-1800-32G-S, REMX2K-1800-32G-WB, REMX2K-1800-32G-WR, REMX2K-1800-32G-WS, RE-S-1800X4-16G-R, RE-S-1800X4-16G-S, RE-S-1800X4-16G-UPG-BB, RE-S-1800X4-16G-WW-S, RE-S-1800X4-32G-BB, RE-S-1800X4-32G-R, RE-S-1800X4-32G-S, RE-S-1800X4-32G-UB, RE-S-1800X4-32G-WS, SCBE-MX-BB, SCBE-MX-R, SCBE-MX-S, MX2000-SFB-BB, MX2000-SFB-R, MX2000-SFB-S, FANTRAY-MX80-BB, FANTRAY-MX80-S, FLTR-KIT-MX80-S, CBL-MX-PWR-C13-SZ, PKG-MX80-S, PWR-BLANK-MX80, PWR-MX80-AC-S, PWR-MX80-DC-S, PWR-MX80-AC-BB, PWR-MX80-DC-BB, MX80-SEPTUM-S, MX5BASE, MX5BASE-T, MX5-T-AC, MX5-T-DC, MX10BASE, MX10BASE-T, MX10-T-AC, MX10-T-DC, MX40BASE-T, MX40-T-AC, MX40-T-DC, MX80-48T-AC, MX80-48T-AC-B, MX80-48T-DC, MX80-48T-DC-B, MX80-AC, MX80-AC-B, MX80BASE-P, MX80BASE-T, MX80-DC, MX80-DC-B, MX80-LE-AC-B, MX80-LE-DC-B, MX80-P-AC, MX80-P-DC, MX80-T-AC, MX80-T-DC, MX80-T-LE-AC, MX80-T-LE-DC",06/30/2020,06/30/2026
"S-MPC10E-10C-A1-3, S-MPC10E-10C-P1-3, S-MPC10E-15C-A1-3, S-MPC10E-15C-P1-3",05/07/2020,11/07/2023
"S-MPC10E-10C-A1-5, S-MPC10E-10C-P1-5, S-MPC10E-15C-A1-5, S-MPC10E-15C-P1-5",05/07/2020,11/07/2025
"S-MPC10E-10C-A1-P, S-MPC10E-10C-P1-P, S-MPC10E-15C-A1-P, S-MPC10E-15C-P1-P",05/07/2020,TBA
TCFP2-100G-C,03/31/2020,09/30/2025
SFPP-10G-CT50-ZR,02/13/2020,02/13/2025
AS-MCC,01/17/2020,12/31/2021
"XFP-10G-CWDM1471, XFP-10G-CWDM1491, XFP-10G-CWDM1511, XFP-10G-CWDM1531, XFP-10G-CWDM1551, XFP-10G-CWDM1571, XFP-10G-CWDM1591, XFP-10G-CWDM1611",11/30/2019,11/30/2024
PC-1OC192-SON-XFP,03/31/2019,03/31/2024
"CFP-100GBASE-ER4, XENPAK-1XGE-SR",12/31/2017,03/31/2023
SFPP-10GE-LRM,03/07/2016,03/07/2021
CFP-100GBASE-LR4,02/12/2016,12/01/2022
Selected MX240 Bundles,11/01/2015,05/01/2021
"RE-S-1800X4-8G-S, RE-S-1800X4-8G-BB, RE-S-1800X4-8G-R",11/01/2015,12/31/2022
"RE-S-1800X4-8G-UPG-BB, RE-S-1800X4-8G-WW-S",11/01/2015,05/01/2021
"MX-MPC1-3D, MX-MPC1-3D-Q, MX-MPC1-3D-Q-R-B, MX-MPC1-3D-R-B",11/01/2015,12/31/2022
"MX-MPC2-3D, MX-MPC2-3D-EQ, MX-MPC2-3D-EQ-R-B, MX-MPC2-3D-Q, MX-MPC2-3D-Q-R-B, MX-MPC2-3D-R-B, MX-MPC2-3D-U-EQ-R-B, MX-MPC2-3D-U-Q, MX-MPC2-3D-U-Q-R-B",11/01/2015,05/01/2021
MS-DPC,11/01/2015,12/31/2022
"DPCE-R-20GE-2XGE, DPCE-R-Q-20GE-2XGE, DPCE-X-40GE-SFP, DPCE-X-4XGE-XFP",11/01/2015,12/31/2022
"DPCE-R-20GE2XGE-CMSO-B, DPCE-R-2XGE-20GE-CMSO, DPCE-R-40GE-SFP, DPCE-R-40GE-SFP-CMSO-B, DPCE-R-4XGE-XFP, DPCE-R-4XGE-XFP-CMSO-B",11/01/2015,05/01/2021
"PB-GGSN3, PB-MS-100-1, PB-MS-400-2, PC-MS-500-3, PE-MS-100-1",11/01/2015,12/31/2022
"PB-MS-100-L2SERVICES, PE-MS-100-L2SERVICES",11/01/2015,05/01/2021
"J120BASE-DC, J320BASE-DC, M120BASE-AC, M120BASE-DC, M320BASE, M320BASE-AC, M320BASE-DC, M320BASE-EC, M320BASE-EC-AC, M320BASE-EC-DC, CB-M-S, CB-M120-S, CHAS-BP-M320-S, CHAS-MP-M10I-S, CHAS-MP-M120-S, CHAS-MP-M7I-1GE-S, CHAS-MP-M7I-2FE-S, CIP-M320-S, CRAFT-M120-S, CRAFT-M320-S, FANTRAY-M10I-S, FANTRAY-M7I-S, FEB-M10I-M7I-256-S, FEB-M10I-M7I-E-S, FEB-M10I-M7I-S, FEB-M120, FEB-M7I-SVCS-MS-E-S, FEB-M7I-SVCS-S, FFANTRAY-M120-S, FFANTRAY-M320-S, HCM-M10I-S, M120-CFPC-1OC192-XFP, M120-CFPC-1XGE-XFP, M120-FPC1, M120-FPC2, M120-FPC3, M320-FPC1-E3, M320-FPC2-E3, M320-FPC3-E3, PB-10CHE1-T1-IQE-RJ48, PB-1CHOC12-STM4-IQE-SFP, PB-1CHOC48-STM16-IQE, PB-1GE-SFP, PB-1OC12-ATM2-MM, PB-1OC12-ATM2-SMIR, PB-1OC48-SON-B-SFP, PB-2CHOC3-STM1-IQE-SFP, PB-2OC12-ATM2-SMIR, PB-2OC3-ATM2-MM, PB-2OC3-ATM2-SMIR, PB-4CHDS3-E3-IQE-BNC, PB-4CHOC3-CE-SFP, PB-4DS3-ATM2, PB-4DS3-E3-IQE-BNC, PB-4E3-ATM2, PB-4E3-QPP, PB-4FE-TX, PB-4GE-SFP, PB-4GE-TYPE1-SFP-IQ2E, PB-4OC3-1OC12-SON-SFP, PB-4OC3-1OC12-SON2-SFP, PB-4OC3-4OC12-SON-SFP, PB-4OC3-STM1-IQE-SFP, PB-8GE-TYPE2-SFP-IQ2E, PB-TUNNEL, PB-TUNNEL-1, PC-1XGE-TYPE3-XFP-IQ2E, PC-4OC48-SON-SFP, PC-8GE-TYPE3-SFP-IQ2E, PE-10CHE1-T1-IQE-RJ48, PE-1CHOC12STM4-IQE-SFP, PE-1GE-SFP, PE-1OC12-ATM2-SMIR, PE-1OC12-SON-SFP, PE-2CHOC3-STM1-IQE-SFP, PE-2EIA530, PE-2OC3-ATM2-MM, PE-2OC3-ATM2-SMIR, PE-2OC3-SON-SFP, PE-4CHOC3-CE-SFP, PE-4DS3-ATM2, PE-4DS3-E3-IQE-BNC, PE-4E1-RJ48, PE-4E3-QPP, PE-4FE-TX, PE-4GE-TYPE1-SFP-IQ2E, PE-4OC3-1OC12-SON-SFP, PE-4OC3-STM1-IQE-SFP, PE-TUNNEL, PWR-M-2000-I-DC-S, PWR-M-AC-S, PWR-M-DC-S, PWR-M10I-M7I-AC-S, PWR-M10I-M7I-DC-S, PWR-M120-AC-S, PWR-M120-DC-S, RE-A-1000-2048-S, RE-A-1000-2048-WW-S, RE-A-1800X2-16G-S, RE-A-1800X2-16G-WW-S, RE-A-1800X2-8G-S, RE-A-1800X2-8G-WW-S, RE-A-2000-4096-HD-S, RE-A-2000-4096-HD-WW-S, RE-B-1800X1-4G-S, RE-B-1800X1-4G-WW-S, RFANTRAY-M120-S, RFANTRAY-M320-S, SIB-M-S, M10i-AC-1GE-P, M10i-AC-4GE-MS100-P, M10i-AC-4GE-P, M10iBASE-AC, M10iBASE-DC, M10iE-AC-RE1800-B, M10iE-DC-RE1800-B, M7i-AC-2GE-P, M7i-AC-5GE-P, M7i-DC-5GE-P, M7iBASE-AC-1GE, M7iBASE-AC-2FETX, M7iBASE-DC-1GE, M7iBASE-DC-2FETX, M7iE-AC-5GE-MS-1800-B, M7iE-AC-RE1800-1GE-B, M7iE-AC-RE1800-2FETX-B, M7iE-DC-RE1800-1GE-B, M7iE-DC-RE1800-2FETX-B, CB-M-BB, CB-M-R, CB-M120-BB, CB-M120-R, FEB-M10I-M7I-256-BB, FEB-M10I-M7I-256-R, FEB-M10I-M7I-BB, FEB-M10I-M7I-E-BB, FEB-M10I-M7I-E-R, FEB-M10I-M7I-R, FEB-M7I-SVCS-BB, FEB-M7I-SVCS-MS-E-BB, PWR-M-2000-I-DC-BB, PWR-M-2000-I-DC-R, PWR-M-AC-BB, PWR-M-AC-R, PWR-M-DC-BB, PWR-M-DC-R, PWR-M10I-M7I-AC-BB, PWR-M10I-M7I-AC-R, PWR-M10I-M7I-DC-BB, PWR-M10I-M7I-DC-R, PWR-M120-AC-R, PWR-M120-DC-R, RE-A-1000-2048-BB, RE-A-1000-2048-R, RE-A-1800X2-16G-R, RE-A-1800X2-8G-R, RE-A-2000-4096-HD-BB, RE-A-2000-4096-HD-R, RE-B-1800X1-4G-BB, RE-B-1800X1-4G-R, SIB-M-BB, SIB-M-R",11/01/2015,12/31/2022
"CB-BLANK-M120, CB-M-BLANK, CBL-EIA530-V35-DTE, CBL-EIA530-X21-DTE, CBL-RJ21-MDI, CBL-RJ21-MDI-S, CBL-RJ21-MDIX, CBL-RJ21-MDIX-S, CBL-SMZ-BNC-M-S, CBL-SSG-5-20-PWR-AU, CBL-SSG-5-20-PWR-CH, CBL-SSG-5-20-PWR-EUR, CBL-SSG-5-20-PWR-J-01, CBL-SSG-5-20-PWR-J-03, CBL-SSG-5-20-PWR-J-05, CBL-SSG-5-20-PWR-J-06, CBL-SSG-5-20-PWR-J-09, CBL-SSG-5-20-PWR-J-10, CBL-SSG-5-20-PWR-J-11, CBL-SSG-5-20-PWR-J-12, CBL-SSG-5-20-PWR-KR, CBL-SSG-5-20-PWR-UK, CBL-SSG-5-20-PWR-US, CF-UPG2-1G-S, CF-UPG3-1G-S, CFPC-BLANK-M120, FANTRAY-BLANK-M10i-S, FEB-BLANK-M10i, FEB-BLANK-M120, FEB-M7i-256-SVCS-BB, FEB-M7i-256-SVCS-S, FEB-M7i-BB, FEB-M7i-E-BB, FEB-M7i-SVCS-ASM-E-BB, FEB-M7i-SVCS-ASM-E-S, FPC-BLANK-M120, FPC-BLANK-M320, M120-AC-HA-2XGE-XFP-B, M120-FPC2-12GE-SFP-B, M120-FPC3-1XGE-XENPAK-B, M320-FPC3-E3-20GE-SFP, M320-FPC3-E3-2XGE-XENPAK, M320-FPC3E3-2XGE-XENPAK-B, M320-SYS-AC-2000-B, M320-SYS-AC-RED-2000-B, M320-SYS-DC-2000-B, M320-SYS-DC-RED-2000-B, MEM-FEB-256-S, MEM-RE-256-S, P-GGSN2, PB-12T1E1-CE-TELCO, PB-2EIA530, PB-4CHOC12-STM4-IQE-SFP, PB-BLANK-FPC1, PB-BLANK-FPC2, PB-MS-100-1-FIPS, PB-MS-400-2-FIPS, PC-MS-500-3-FIPS, PD-BLANK-FPC4, PE-12T1E1-CE-TELCO, PE-1OC12-ATM2-MM, PE-4CHDS3-E3-IQE-BNC, PE-BLANK, PE-MS-100-1-FIPS, PKG-M10i-S, PKG-M120-S, PKG-M320-S, PKG-M7i-S, PWR-BLANK-M10i-M7i, PWR-BLANK-M120, PWR-M10i-M7i-AC-BB, RE-A-1800X2-16G-UPG-BB, RE-A-1800X2-8G-UPG-BB, RE-A-2000-4096-UPG-BB, RE-BLANK, RE-BLANK-M10i,",11/01/2015,05/01/2021
COMPL-NEBS-M120-S,09/04/2015,02/28/2021
CF-UPG1-1G-S,07/13/2015,07/31/2015
CFP2-100G-SR10-D,06/19/2015,07/30/2016
"RE-S-2000-4096, SCB-MX960",06/17/2015,05/01/2021
"PWR-MX960-AC-BB, PWR-MX960-AC-R, PWR-MX960-AC-S, PWR-MX960-DC-BB, PWR-MX960-DC-R, PWR-MX960-DC-S, PWR-MX480-1200-AC-BB, PWR-MX480-1200-AC-R, PWR-MX480-1200-AC-S, PWR-MX480-1600-DC-BB, PWR-MX480-1600-DC-R, PWR-MX480-1600-DC-S, RE-S-1300-2048-BB, RE-S-1300-2048-R, RE-S-1300-2048-S, RE-S-1300-2048-WW-S, RE-S-1800X2-16G-BB, RE-S-1800X2-16G-R, RE-S-1800X2-16G-S, RE-S-1800X2-16G-UPG-BB, RE-S-1800X2-16G-WW-S, RE-S-1800X2-8G-BB, RE-S-1800X2-8G-R, RE-S-1800X2-8G-S, RE-S-1800X2-8G-UPG-BB, RE-S-1800X2-8G-WW-S",10/31/2014,10/31/2020
"RE-400-768-BB, RE-400-768-R, RE-400-768-S, RE-400-768-WW-S, M7iE-AC-RE400-1GE-B, M7iE-AC-RE400-2FETX-B, M7iE-DC-RE400-1GE-B, M7iE-DC-RE400-2FETX-B, M10iE-AC-RE400-B, M10iE-DC-RE400-B, M7iBASE-AC-2GE-OC12, M7iBASE-AC-2GE-OC3, M7iBASE-AC-2GE-WAN",06/06/2014,12/06/2019
"PB-4GE-TYPE1-SFP-IQ2, PB-8GE-TYPE2-SFP-IQ2, PC-8GE-TYPE3-SFP-IQ2, PC-1XGE-TYPE3-XFP-IQ2, PB-10CHE1-RJ48-QPP-N, PB-10CHT1-RJ48-QPP, PB-1CHOC3-SMIR-QPP, PB-1CHSTM1-SMIR-QPP, PB-1GE-SFP-QPP, PB-1OC12-STM4-IQE-SFP, PB-2GE-SFP-QPP, PB-4CHDS3-QPP, PE-10CHE1-RJ48-QPP-N, PE-10CHT1-RJ48-QPP, PE-1CHOC12SMIR-QPP, PE-1CHOC3-SMIR-QPP, PE-1CHSTM1-SMIR-QPP, PE-1GE-SFP-QPP, PE-1OC12-STM4-IQE-SFP, PE-4CHDS3-QPP, PE-4GE-TYPE1-SFP-IQ2",03/15/2013,03/31/2019
"PB-12FE-TX-MDI, PB-12FE-TX-MDIX, PB-1OC12-SON-SFP, PB-1OC48-ATM2-SFP, PB-2GE-SFP, PB-2OC12-ATM2-MM, PB-4E1-COAX, PB-4E1-RJ48, PB-4T1-RJ48, PB-8FE-FX, PE-12FE-TX-MDI, PE-12FE-TX-MDIX, PE-1OC48-SON-SFP, PE-2E3-ATM2, PE-4E1-COAX, PE-4T1-RJ48, PE-8FE-FX",03/15/2013,03/31/2019
M320-FPC3-E2,03/15/2013,03/31/2019
"FFILTER-MX960-S, FFILTER-MX960-BB",02/11/2013,01/31/2019
"FFANTRAY-MX240-S, FFANTRAY-MX240-BB, FFANTRAY-MX480-S, FFANTRAY-MX480-BB, FFANTRAY-MX960-S, FFANTRAY-MX960-BB",02/11/2013,02/28/2019
"MX-FPC2, MX-FPC3, DPCE-R-Q-20GE-SFP, DPCE-X-Q-4XGE-XFP, DPCE-R-40GE-TX, DPCE-X-Q-40GE-SFP",02/11/2013,01/31/2019
PC-1XGE-DWDM-OTN,03/01/2012,09/01/2017
